date,lat_bin,lon_bin,fire_count,fire_power_MW,max_temp_K,max_power_MW
2024-06-01,15.5,-88.0,1,25.299757,419.0081,25.299757
2024-06-01,16.0,-94.5,1,36.891445,471.41766,36.891445
2024-06-01,17.0,-101.5,1,45.40102,524.2118,45.40102
2024-06-01,17.0,-96.0,1,29.906256,458.5625,29.906256
2024-06-01,17.0,-91.5,2,219.25499,509.43384,133.2918
2024-06-01,17.0,-89.0,6,334.0485,632.6568,75.30489
2024-06-01,17.5,-93.5,3,236.0282,763.8456,104.46767
2024-06-01,17.5,-93.0,2,117.26718,424.4468,63.65663
2024-06-01,17.5,-92.5,4,472.80673,1982.5057,177.40282
2024-06-01,17.5,-92.0,4,245.07703,796.9724,73.84375
2024-06-01,17.5,-91.0,1,44.5294,627.4378,44.5294
2024-06-01,17.5,-90.5,1,47.644077,,47.644077
2024-06-01,18.0,-102.5,1,76.55893,,76.55893
2024-06-01,18.0,-102.0,1,78.98342,,78.98342
2024-06-01,18.0,-96.0,4,283.59995,618.9226,91.43564
2024-06-01,18.0,-93.0,3,139.99422,691.6588,58.056156
2024-06-01,18.0,-92.5,30,3327.0405,1217.128,300.34427
2024-06-01,18.0,-92.0,5,551.8961,1292.0616,218.7617
2024-06-01,18.0,-89.0,1,128.42361,,128.42361
2024-06-01,18.5,-103.0,1,90.53663,431.14908,90.53663
2024-06-01,18.5,-90.5,1,47.13857,456.0354,47.13857
2024-06-01,18.5,-89.0,5,384.80478,492.18372,99.282524
2024-06-01,18.5,-88.5,1,33.6226,504.98398,33.6226
2024-06-01,19.0,-99.0,1,32.202618,476.85638,32.202618
2024-06-01,19.0,-91.0,1,88.91032,532.9468,88.91032
2024-06-01,19.0,-90.0,3,353.64105,622.2738,206.29219
2024-06-01,19.0,-89.5,1,64.06855,504.76422,64.06855
2024-06-01,19.0,-89.0,3,412.9668,586.0705,183.18112
2024-06-01,19.5,-105.0,2,158.88922,1058.9104,90.37046
2024-06-01,19.5,-90.5,1,54.242733,420.43643,54.242733
2024-06-01,19.5,-90.0,1,56.767017,519.5422,56.767017
2024-06-01,19.5,-89.5,1,38.28398,651.28033,38.28398
2024-06-01,19.5,-89.0,7,537.997,560.68976,106.100105
2024-06-01,19.5,-88.5,1,53.865707,567.1174,53.865707
2024-06-01,20.0,-105.5,1,57.96705,528.44196,57.96705
2024-06-01,20.0,-105.0,1,59.412014,493.88678,59.412014
2024-06-01,20.0,-101.5,1,72.20548,426.9739,72.20548
2024-06-01,20.0,-98.0,1,53.356644,890.4746,53.356644
2024-06-01,20.0,-90.0,1,35.348763,410.71265,35.348763
2024-06-01,20.0,-89.0,1,31.303234,410.6577,31.303234
2024-06-01,20.0,-88.5,3,259.8666,591.61914,122.71305
2024-06-01,20.5,-105.0,1,55.651844,408.46024,55.651844
