date,lat_bin,lon_bin,n_flash_sampled,n_flash_est
2024-05-31,22.0,-103.5,1,90
2024-05-31,34.0,-105.5,1,90
2024-06-01,20.0,-104.0,1,90
2024-06-01,20.0,-103.5,1,90
2024-06-01,20.0,-103.0,4,360
2024-06-01,20.0,-102.5,1,90
2024-06-01,20.0,-102.0,1,90
2024-06-01,20.0,-90.0,2,180
2024-06-01,20.0,-78.5,1,90
2024-06-01,20.0,-78.0,3,270
2024-06-01,20.0,-77.5,2,180
2024-06-01,20.0,-77.0,7,630
2024-06-01,20.0,-76.5,9,810
2024-06-01,20.0,-76.0,8,720
2024-06-01,20.0,-75.5,4,360
2024-06-01,20.0,-72.0,5,450
2024-06-01,20.0,-71.5,1,90
2024-06-01,20.0,-68.5,1,90
2024-06-01,20.5,-103.0,2,180
2024-06-01,20.5,-102.5,3,270
2024-06-01,20.5,-102.0,1,90
2024-06-01,20.5,-101.5,1,90
2024-06-01,20.5,-89.5,4,360
2024-06-01,20.5,-89.0,5,450
2024-06-01,20.5,-80.5,1,90
2024-06-01,20.5,-79.5,4,360
2024-06-01,20.5,-79.0,1,90
2024-06-01,20.5,-78.5,6,540
2024-06-01,20.5,-78.0,15,1350
2024-06-01,20.5,-77.5,18,1620
2024-06-01,20.5,-77.0,3,270
2024-06-01,20.5,-76.5,1,90
2024-06-01,20.5,-76.0,11,990
2024-06-01,20.5,-75.5,1,90
2024-06-01,20.5,-71.5,1,90
2024-06-01,20.5,-71.0,29,2610
2024-06-01,20.5,-70.5,5,450
2024-06-01,20.5,-70.0,8,720
2024-06-01,20.5,-69.5,8,720
2024-06-01,20.5,-69.0,18,1620
2024-06-01,20.5,-68.5,10,900
2024-06-01,20.5,-68.0,5,450
2024-06-01,20.5,-67.5,1,90
2024-06-01,21.0,-103.0,1,90
2024-06-01,21.0,-102.5,4,360
2024-06-01,21.0,-102.0,1,90
2024-06-01,21.0,-101.5,1,90
2024-06-01,21.0,-100.5,1,90
2024-06-01,21.0,-82.0,1,90
2024-06-01,21.0,-79.5,2,180
2024-06-01,21.0,-79.0,26,2340
2024-06-01,21.0,-78.5,27,2430
2024-06-01,21.0,-78.0,1,90
2024-06-01,21.0,-77.5,4,360
2024-06-01,21.0,-77.0,1,90
2024-06-01,21.0,-76.5,4,360
2024-06-01,21.0,-75.5,2,180
2024-06-01,21.0,-74.5,1,90
2024-06-01,21.0,-74.0,22,1980
2024-06-01,21.0,-71.5,3,270
2024-06-01,21.0,-71.0,25,2250
2024-06-01,21.0,-70.5,42,3780
2024-06-01,21.0,-70.0,88,7920
2024-06-01,21.0,-69.5,9,810
2024-06-01,21.0,-69.0,6,540
2024-06-01,21.0,-68.5,3,270
2024-06-01,21.0,-68.0,10,900
2024-06-01,21.0,-67.5,5,450
2024-06-01,21.0,-67.0,1,90
2024-06-01,21.0,-66.0,3,270
2024-06-01,21.5,-102.0,1,90
2024-06-01,21.5,-101.5,1,90
2024-06-01,21.5,-85.5,25,2250
2024-06-01,21.5,-85.0,9,810
2024-06-01,21.5,-83.5,5,450
2024-06-01,21.5,-83.0,2,180
2024-06-01,21.5,-80.5,4,360
2024-06-01,21.5,-80.0,3,270
2024-06-01,21.5,-79.5,3,270
2024-06-01,21.5,-79.0,7,630
2024-06-01,21.5,-78.0,2,180
2024-06-01,21.5,-77.5,1,90
2024-06-01,21.5,-76.5,3,270
2024-06-01,21.5,-74.5,17,1530
2024-06-01,21.5,-74.0,8,720
2024-06-01,21.5,-73.5,8,720
2024-06-01,21.5,-73.0,2,180
2024-06-01,21.5,-72.5,1,90
2024-06-01,21.5,-71.0,6,540
2024-06-01,21.5,-70.5,8,720
2024-06-01,21.5,-70.0,33,2970
2024-06-01,21.5,-69.0,1,90
2024-06-01,21.5,-68.5,4,360
2024-06-01,21.5,-68.0,7,630
2024-06-01,21.5,-67.5,17,1530
2024-06-01,21.5,-67.0,10,900
2024-06-01,21.5,-66.5,1,90
2024-06-01,21.5,-66.0,9,810
2024-06-01,22.0,-103.0,2,180
2024-06-01,22.0,-102.5,1,90
2024-06-01,22.0,-86.0,1,90
2024-06-01,22.0,-84.5,15,1350
2024-06-01,22.0,-84.0,1,90
2024-06-01,22.0,-83.5,2,180
2024-06-01,22.0,-82.0,2,180
2024-06-01,22.0,-80.0,1,90
2024-06-01,22.0,-79.5,14,1260
2024-06-01,22.0,-79.0,5,450
2024-06-01,22.0,-78.5,5,450
2024-06-01,22.0,-78.0,14,1260
2024-06-01,22.0,-77.5,14,1260
2024-06-01,22.0,-75.5,2,180
2024-06-01,22.0,-75.0,2,180
2024-06-01,22.0,-74.5,10,900
2024-06-01,22.0,-74.0,2,180
2024-06-01,22.0,-71.5,1,90
2024-06-01,22.0,-71.0,2,180
2024-06-01,22.0,-70.0,1,90
2024-06-01,22.0,-69.5,1,90
2024-06-01,22.0,-69.0,3,270
2024-06-01,22.0,-68.5,1,90
2024-06-01,22.0,-68.0,2,180
2024-06-01,22.0,-67.5,1,90
2024-06-01,22.0,-67.0,5,450
2024-06-01,22.0,-66.5,1,90
2024-06-01,22.0,-66.0,1,90
2024-06-01,22.5,-102.5,2,180
2024-06-01,22.5,-86.5,3,270
2024-06-01,22.5,-86.0,5,450
2024-06-01,22.5,-83.5,7,630
2024-06-01,22.5,-83.0,5,450
2024-06-01,22.5,-82.5,1,90
2024-06-01,22.5,-80.5,3,270
2024-06-01,22.5,-80.0,4,360
2024-06-01,22.5,-79.5,5,450
2024-06-01,22.5,-78.0,1,90
2024-06-01,22.5,-77.0,3,270
2024-06-01,22.5,-76.5,2,180
2024-06-01,22.5,-75.5,1,90
2024-06-01,22.5,-73.5,11,990
2024-06-01,22.5,-73.0,5,450
2024-06-01,22.5,-72.0,1,90
2024-06-01,22.5,-71.0,2,180
2024-06-01,22.5,-70.5,3,270
2024-06-01,22.5,-70.0,1,90
2024-06-01,22.5,-69.0,1,90
2024-06-01,22.5,-68.5,1,90
2024-06-01,22.5,-67.5,3,270
2024-06-01,22.5,-67.0,3,270
2024-06-01,22.5,-66.5,4,360
