month,lat_bin,lon_bin,n,power_MW
6,25.0,-108.0,8,568.9989
6,25.0,-107.5,26,2076.8289
6,25.0,-107.0,9,460.89426
6,25.0,-106.5,9,602.66785
6,25.0,-106.0,1,70.09163
6,25.0,-105.5,1,56.463993
6,25.0,-105.0,1,57.781734
6,25.0,-100.5,1,122.97046
6,25.0,-99.5,5,166.48225
6,25.0,-99.0,7,208.5213
6,25.0,-98.5,1,16.485655
6,25.5,-109.0,2,181.25653
6,25.5,-108.5,7,426.39053
6,25.5,-108.0,27,1650.057
6,25.5,-107.5,52,3991.3943
6,25.5,-107.0,8,617.75684
6,25.5,-106.5,10,1114.0001
6,25.5,-106.0,8,993.3512
6,25.5,-105.5,6,753.55194
6,25.5,-104.0,1,43.356396
6,25.5,-103.0,2,115.114426
6,25.5,-100.5,8,637.6692
6,25.5,-100.0,2,48.60142
6,25.5,-99.5,11,515.00433
6,25.5,-99.0,4,112.24205
6,25.5,-98.5,2,62.436462
6,25.5,-98.0,1,17.522018
6,25.5,-97.5,8,537.55414
6,25.5,-81.0,2,220.71596
6,25.5,-80.5,6,315.51877
6,26.0,-109.0,27,2408.8987
6,26.0,-108.5,27,1738.3854
6,26.0,-108.0,23,1364.4725
6,26.0,-107.5,15,941.0371
6,26.0,-107.0,10,1030.9061
6,26.0,-106.5,27,7053.944
6,26.0,-106.0,5,436.9619
6,26.0,-105.5,1,236.45847
6,26.0,-104.5,1,23.007002
6,26.0,-102.5,1,33.9556
6,26.0,-100.0,4,293.74844
6,26.0,-99.5,3,89.265114
6,26.0,-99.0,2,63.96825
6,26.0,-98.5,4,167.3207
6,26.0,-98.0,13,384.79953
6,26.0,-97.5,18,769.2545
6,26.0,-81.5,4,517.5225
6,26.0,-81.0,5,505.46155
6,26.0,-80.5,1,50.376926
6,26.5,-109.0,40,3502.939
6,26.5,-108.5,18,1042.9958
6,26.5,-108.0,9,478.39014
6,26.5,-107.5,11,823.49036
6,26.5,-107.0,11,1157.7677
6,26.5,-106.5,44,11661.95
6,26.5,-105.0,1,34.38624
6,26.5,-104.0,1,34.914474
6,26.5,-103.5,1,77.612274
6,26.5,-103.0,8,1255.4338
6,26.5,-102.5,2,200.93964
6,26.5,-102.0,2,361.55258
6,26.5,-101.5,2,88.137115
6,26.5,-101.0,1,30.711775
6,26.5,-99.5,1,28.446293
6,26.5,-99.0,3,64.47437
6,26.5,-98.5,3,73.024055
6,26.5,-98.0,8,306.9129
6,26.5,-97.5,4,166.40596
6,26.5,-81.5,2,151.58722
6,26.5,-80.5,6,351.53268
6,26.5,-78.5,2,85.214905
6,26.5,-78.0,7,396.40936
6,26.5,-77.5,3,308.36502
6,26.5,-77.0,1,74.8516
6,27.0,-110.0,3,240.87349
6,27.0,-109.5,20,1182.344
6,27.0,-109.0,6,383.67975
6,27.0,-108.5,27,1851.9424
6,27.0,-108.0,6,428.39288
6,27.0,-107.5,26,10283.022
6,27.0,-107.0,23,3217.5942
6,27.0,-106.5,4,617.9299
6,27.0,-105.5,2,126.53171
6,27.0,-104.0,3,225.65811
6,27.0,-103.0,2,93.5643
6,27.0,-102.0,3,151.33679
6,27.0,-101.5,2,102.332825
6,27.0,-100.0,3,110.44223
6,27.0,-99.5,5,145.17197
6,27.0,-99.0,4,108.36658
6,27.0,-98.5,3,144.84718
6,27.0,-98.0,10,242.58212
6,27.0,-97.5,3,122.33875
6,27.0,-82.5,7,850.9765
6,27.0,-82.0,4,1090.0292
