week,lat_bin,lon_bin,fire_count,fire_power_MW,max_power_MW,prior_lightning_count,had_prior_lightning
2024-05-27,15.5,-91.0,1,31.4,31.4,0,0
2024-05-27,15.5,-90.0,3,465.3,243.7,0,0
2024-05-27,15.5,-89.5,1,74.3,74.3,0,0
2024-05-27,15.5,-88.0,1,25.3,25.3,0,0
2024-05-27,16.0,-94.5,1,36.9,36.9,0,0
2024-05-27,16.0,-89.5,2,168.2,90.9,0,0
2024-05-27,16.5,-91.0,1,72.1,72.1,0,0
2024-05-27,16.5,-89.5,2,99.1,53.8,0,0
2024-05-27,17.0,-101.5,1,45.4,45.4,0,0
2024-05-27,17.0,-96.0,1,29.9,29.9,0,0
2024-05-27,17.0,-92.0,1,50.7,50.7,0,0
2024-05-27,17.0,-91.5,3,245.0,133.3,0,0
2024-05-27,17.0,-91.0,3,133.9,68.4,0,0
2024-05-27,17.0,-89.0,6,334.0,75.3,0,0
2024-05-27,17.0,-88.5,2,154.4,91.9,0,0
2024-05-27,17.5,-102.0,1,38.3,38.3,0,0
2024-05-27,17.5,-100.5,1,138.5,138.5,0,0
2024-05-27,17.5,-93.5,6,602.8,240.7,0,0
2024-05-27,17.5,-93.0,9,810.3,203.6,0,0
2024-05-27,17.5,-92.5,4,472.8,177.4,0,0
2024-05-27,17.5,-92.0,6,346.1,73.8,0,0
2024-05-27,17.5,-91.5,1,108.3,108.3,0,0
2024-05-27,17.5,-91.0,3,438.2,305.9,0,0
2024-05-27,17.5,-90.5,1,47.6,47.6,0,0
2024-05-27,17.5,-89.0,6,526.6,102.4,0,0
2024-05-27,18.0,-102.5,1,76.6,76.6,0,0
2024-05-27,18.0,-102.0,1,79.0,79.0,0,0
2024-05-27,18.0,-96.0,6,520.9,158.6,0,0
2024-05-27,18.0,-93.0,13,2971.6,840.9,0,0
2024-05-27,18.0,-92.5,50,6410.8,620.0,0,0
2024-05-27,18.0,-92.0,8,925.2,218.8,0,0
2024-05-27,18.0,-91.5,1,79.9,79.9,0,0
2024-05-27,18.0,-89.5,1,58.6,58.6,0,0
2024-05-27,18.0,-89.0,2,193.1,128.4,0,0
2024-05-27,18.5,-103.0,2,187.1,96.5,0,0
2024-05-27,18.5,-97.5,3,333.4,125.5,0,0
2024-05-27,18.5,-91.5,2,131.8,66.8,0,0
2024-05-27,18.5,-90.5,2,114.1,67.0,0,0
2024-05-27,18.5,-89.0,10,813.6,123.2,0,0
2024-05-27,18.5,-88.5,6,705.2,336.3,0,0
2024-05-27,19.0,-99.0,1,32.2,32.2,0,0
2024-05-27,19.0,-91.0,1,88.9,88.9,0,0
2024-05-27,19.0,-90.0,3,353.6,206.3,0,0
2024-05-27,19.0,-89.5,4,277.8,88.0,0,0
2024-05-27,19.0,-89.0,4,473.9,183.2,0,0
2024-05-27,19.5,-105.0,2,158.9,90.4,0,0
2024-05-27,19.5,-90.5,1,54.2,54.2,0,0
2024-05-27,19.5,-90.0,2,83.4,56.8,0,0
2024-05-27,19.5,-89.5,2,102.0,63.7,0,0
2024-05-27,19.5,-89.0,10,826.4,124.6,0,0
2024-05-27,19.5,-88.5,2,128.7,74.9,0,0
2024-05-27,20.0,-105.5,2,129.7,71.7,0,0
2024-05-27,20.0,-105.0,1,59.4,59.4,0,0
2024-05-27,20.0,-101.5,1,72.2,72.2,0,0
2024-05-27,20.0,-98.0,1,53.4,53.4,0,0
2024-05-27,20.0,-90.0,1,35.3,35.3,180,1
2024-05-27,20.0,-89.5,2,108.7,54.9,180,1
2024-05-27,20.0,-89.0,1,31.3,31.3,0,0
2024-05-27,20.0,-88.5,6,424.8,122.7,0,0
2024-05-27,20.5,-105.0,1,55.7,55.7,0,0
2024-05-27,20.5,-104.5,2,216.6,118.2,0,0
2024-05-27,20.5,-97.5,1,31.7,31.7,0,0
2024-05-27,20.5,-90.5,5,347.6,88.2,0,0
2024-05-27,20.5,-89.5,2,118.4,59.6,630,1
2024-05-27,20.5,-89.0,2,135.8,81.2,450,1
2024-05-27,20.5,-88.0,2,122.8,63.7,0,0
2024-05-27,20.5,-87.5,2,50.6,28.0,0,0
2024-05-27,21.0,-104.5,1,50.2,50.2,0,0
2024-05-27,21.0,-89.5,2,171.5,96.9,0,0
2024-05-27,21.0,-88.0,1,65.3,65.3,0,0
2024-05-27,21.0,-87.5,3,225.1,88.2,0,0
2024-05-27,21.0,-87.0,2,164.7,96.0,0,0
2024-05-27,21.5,-99.5,1,77.0,77.0,0,0
2024-05-27,22.0,-105.5,2,150.6,82.6,0,0
2024-05-27,22.0,-98.5,1,166.8,166.8,0,0
2024-05-27,22.0,-84.5,1,75.5,75.5,1350,1
2024-05-27,22.0,-80.0,1,178.1,178.1,90,1
2024-05-27,22.5,-104.0,2,109.2,55.6,0,0
2024-05-27,22.5,-83.5,1,68.3,68.3,630,1
2024-05-27,22.5,-81.0,1,47.0,47.0,0,0
2024-05-27,22.5,-80.5,1,37.9,37.9,270,1
2024-05-27,22.5,-80.0,1,22.5,22.5,360,1
2024-05-27,23.0,-106.0,2,118.4,64.1,0,0
2024-05-27,23.5,-99.0,1,102.4,102.4,0,0
2024-05-27,24.0,-107.0,2,99.8,66.7,0,0
2024-05-27,24.0,-78.0,1,171.1,171.1,0,0
2024-05-27,25.0,-108.0,1,156.5,156.5,0,0
2024-05-27,25.0,-107.5,1,74.1,74.1,0,0
2024-05-27,25.5,-108.0,2,416.3,292.4,0,0
2024-05-27,26.0,-107.5,2,83.1,43.3,0,0
2024-05-27,26.5,-106.5,1,59.8,59.8,0,0
2024-05-27,27.5,-108.0,2,315.1,180.3,0,0
2024-05-27,30.5,-85.0,1,194.0,194.0,1170,1
