week,lat_bin,lon_bin,flash_count
2024-05-27,20.0,-104.0,90
2024-05-27,20.0,-103.5,90
2024-05-27,20.0,-103.0,900
2024-05-27,20.0,-102.5,720
2024-05-27,20.0,-102.0,180
2024-05-27,20.0,-101.5,180
2024-05-27,20.0,-101.0,180
2024-05-27,20.0,-99.5,270
2024-05-27,20.0,-90.5,720
2024-05-27,20.0,-90.0,1710
2024-05-27,20.0,-89.5,180
2024-05-27,20.0,-84.0,360
2024-05-27,20.0,-83.5,270
2024-05-27,20.0,-80.5,90
2024-05-27,20.0,-79.5,180
2024-05-27,20.0,-79.0,180
2024-05-27,20.0,-78.5,270
2024-05-27,20.0,-78.0,540
2024-05-27,20.0,-77.5,180
2024-05-27,20.0,-77.0,1350
2024-05-27,20.0,-76.5,900
2024-05-27,20.0,-76.0,720
2024-05-27,20.0,-75.5,360
2024-05-27,20.0,-72.0,450
2024-05-27,20.0,-71.5,360
2024-05-27,20.0,-71.0,180
2024-05-27,20.0,-70.5,90
2024-05-27,20.0,-70.0,1170
2024-05-27,20.0,-68.5,90
2024-05-27,20.0,-67.0,90
2024-05-27,20.0,-65.5,90
2024-05-27,20.5,-103.0,810
2024-05-27,20.5,-102.5,720
2024-05-27,20.5,-102.0,180
2024-05-27,20.5,-101.5,990
2024-05-27,20.5,-101.0,90
2024-05-27,20.5,-90.0,180
2024-05-27,20.5,-89.5,630
2024-05-27,20.5,-89.0,450
2024-05-27,20.5,-88.5,450
2024-05-27,20.5,-84.0,180
2024-05-27,20.5,-83.5,90
2024-05-27,20.5,-82.0,360
2024-05-27,20.5,-81.5,630
2024-05-27,20.5,-80.5,90
2024-05-27,20.5,-80.0,90
2024-05-27,20.5,-79.5,360
2024-05-27,20.5,-79.0,180
2024-05-27,20.5,-78.5,540
2024-05-27,20.5,-78.0,1440
2024-05-27,20.5,-77.5,1800
2024-05-27,20.5,-77.0,1890
2024-05-27,20.5,-76.5,270
2024-05-27,20.5,-76.0,4140
2024-05-27,20.5,-75.5,450
2024-05-27,20.5,-75.0,270
2024-05-27,20.5,-72.0,540
2024-05-27,20.5,-71.5,1350
2024-05-27,20.5,-71.0,4140
2024-05-27,20.5,-70.5,990
2024-05-27,20.5,-70.0,720
2024-05-27,20.5,-69.5,720
2024-05-27,20.5,-69.0,1620
2024-05-27,20.5,-68.5,900
2024-05-27,20.5,-68.0,450
2024-05-27,20.5,-67.5,90
2024-05-27,21.0,-103.0,180
2024-05-27,21.0,-102.5,450
2024-05-27,21.0,-102.0,360
2024-05-27,21.0,-101.5,450
2024-05-27,21.0,-101.0,270
2024-05-27,21.0,-100.5,90
2024-05-27,21.0,-100.0,90
2024-05-27,21.0,-83.5,90
2024-05-27,21.0,-83.0,360
2024-05-27,21.0,-82.0,90
2024-05-27,21.0,-79.5,180
2024-05-27,21.0,-79.0,2340
2024-05-27,21.0,-78.5,2430
2024-05-27,21.0,-78.0,360
2024-05-27,21.0,-77.5,630
2024-05-27,21.0,-77.0,900
2024-05-27,21.0,-76.5,1350
2024-05-27,21.0,-76.0,1350
2024-05-27,21.0,-75.5,360
2024-05-27,21.0,-74.5,270
2024-05-27,21.0,-74.0,1980
2024-05-27,21.0,-71.5,900
2024-05-27,21.0,-71.0,3060
2024-05-27,21.0,-70.5,4050
2024-05-27,21.0,-70.0,7920
2024-05-27,21.0,-69.5,810
2024-05-27,21.0,-69.0,540
2024-05-27,21.0,-68.5,270
2024-05-27,21.0,-68.0,900
2024-05-27,21.0,-67.5,450
2024-05-27,21.0,-67.0,90
2024-05-27,21.0,-66.0,270
2024-05-27,21.5,-102.0,270
2024-05-27,21.5,-101.5,270
2024-05-27,21.5,-101.0,360
2024-05-27,21.5,-85.5,2250
2024-05-27,21.5,-85.0,810
2024-05-27,21.5,-84.5,360
2024-05-27,21.5,-84.0,90
2024-05-27,21.5,-83.5,540
2024-05-27,21.5,-83.0,630
2024-05-27,21.5,-82.5,810
2024-05-27,21.5,-81.0,90
2024-05-27,21.5,-80.5,450
2024-05-27,21.5,-80.0,1170
2024-05-27,21.5,-79.5,810
2024-05-27,21.5,-79.0,1080
2024-05-27,21.5,-78.5,90
2024-05-27,21.5,-78.0,450
2024-05-27,21.5,-77.5,450
2024-05-27,21.5,-77.0,180
2024-05-27,21.5,-76.5,270
2024-05-27,21.5,-76.0,720
2024-05-27,21.5,-75.5,90
2024-05-27,21.5,-75.0,540
2024-05-27,21.5,-74.5,1530
2024-05-27,21.5,-74.0,720
2024-05-27,21.5,-73.5,720
2024-05-27,21.5,-73.0,180
2024-05-27,21.5,-72.5,180
2024-05-27,21.5,-71.5,90
2024-05-27,21.5,-71.0,540
2024-05-27,21.5,-70.5,990
2024-05-27,21.5,-70.0,2970
2024-05-27,21.5,-69.0,90
2024-05-27,21.5,-68.5,360
2024-05-27,21.5,-68.0,630
2024-05-27,21.5,-67.5,1530
2024-05-27,21.5,-67.0,900
2024-05-27,21.5,-66.5,90
2024-05-27,21.5,-66.0,810
2024-05-27,22.0,-103.5,90
2024-05-27,22.0,-103.0,180
2024-05-27,22.0,-102.5,360
2024-05-27,22.0,-101.5,360
2024-05-27,22.0,-101.0,810
2024-05-27,22.0,-86.0,90
2024-05-27,22.0,-84.5,2430
2024-05-27,22.0,-84.0,270
2024-05-27,22.0,-83.5,180
2024-05-27,22.0,-82.5,90
2024-05-27,22.0,-82.0,270
2024-05-27,22.0,-81.5,270
2024-05-27,22.0,-81.0,540
2024-05-27,22.0,-80.5,270
