week,lat_bin,lon_bin,flash_count
2024-05-27,20.0,-71.0,5
2024-05-27,20.5,-90.0,5
2024-05-27,20.5,-88.0,9
2024-05-27,20.5,-87.0,5
2024-05-27,20.5,-82.0,10
2024-05-27,20.5,-81.0,8
2024-05-27,20.5,-80.5,9
2024-05-27,20.5,-80.0,5
2024-05-27,20.5,-77.5,7
2024-05-27,21.0,-86.5,5
2024-05-27,21.0,-85.5,7
2024-05-27,21.0,-84.0,6
2024-05-27,21.0,-82.5,8
2024-05-27,21.0,-81.5,6
2024-05-27,21.0,-80.5,8
2024-05-27,21.0,-80.0,6
2024-05-27,21.0,-77.5,5
2024-05-27,21.0,-76.5,5
2024-05-27,21.0,-75.5,5
2024-05-27,21.5,-86.5,5
2024-05-27,21.5,-85.5,14
2024-05-27,21.5,-85.0,8
2024-05-27,21.5,-84.5,9
2024-05-27,21.5,-83.0,19
2024-05-27,21.5,-82.5,5
2024-05-27,21.5,-82.0,10
2024-05-27,21.5,-81.0,10
2024-05-27,21.5,-80.0,17
2024-05-27,21.5,-79.5,11
2024-05-27,21.5,-79.0,10
2024-05-27,21.5,-78.0,6
2024-05-27,21.5,-77.0,7
2024-05-27,22.0,-92.0,5
2024-05-27,22.0,-90.5,5
2024-05-27,22.0,-89.0,5
2024-05-27,22.0,-88.0,11
2024-05-27,22.0,-87.0,5
2024-05-27,22.0,-86.5,6
2024-05-27,22.0,-86.0,9
2024-05-27,22.0,-85.5,13
2024-05-27,22.0,-85.0,6
2024-05-27,22.0,-84.5,12
2024-05-27,22.0,-84.0,7
2024-05-27,22.0,-83.5,15
2024-05-27,22.0,-82.5,9
2024-05-27,22.0,-81.5,10
2024-05-27,22.0,-81.0,8
2024-05-27,22.0,-80.0,5
2024-05-27,22.5,-89.0,5
2024-05-27,22.5,-87.5,8
2024-05-27,22.5,-87.0,14
2024-05-27,22.5,-86.5,6
2024-05-27,22.5,-86.0,11
2024-05-27,22.5,-85.5,10
2024-05-27,22.5,-84.5,5
2024-05-27,22.5,-84.0,5
2024-05-27,22.5,-83.5,10
2024-05-27,22.5,-83.0,7
2024-05-27,22.5,-82.5,10
2024-05-27,22.5,-81.5,15
2024-05-27,22.5,-81.0,16
2024-05-27,22.5,-80.5,11
2024-05-27,22.5,-80.0,13
2024-05-27,22.5,-79.5,22
2024-05-27,22.5,-79.0,8
2024-05-27,22.5,-78.5,10
2024-05-27,22.5,-77.5,8
2024-05-27,23.0,-110.0,6
2024-05-27,23.0,-93.0,8
2024-05-27,23.0,-91.0,5
2024-05-27,23.0,-90.0,8
2024-05-27,23.0,-86.0,8
2024-05-27,23.0,-85.5,23
2024-05-27,23.0,-84.5,17
2024-05-27,23.0,-84.0,10
2024-05-27,23.0,-83.5,11
2024-05-27,23.0,-82.5,11
2024-05-27,23.0,-82.0,7
2024-05-27,23.0,-81.0,24
2024-05-27,23.0,-80.5,20
2024-05-27,23.0,-80.0,6
2024-05-27,23.0,-79.5,25
2024-05-27,23.0,-79.0,14
2024-05-27,23.0,-78.5,20
2024-05-27,23.0,-77.0,5
2024-05-27,23.0,-75.0,7
2024-05-27,23.5,-93.0,7
2024-05-27,23.5,-92.0,13
2024-05-27,23.5,-90.5,7
2024-05-27,23.5,-90.0,5
2024-05-27,23.5,-88.0,9
2024-05-27,23.5,-87.5,7
2024-05-27,23.5,-87.0,36
2024-05-27,23.5,-85.5,18
2024-05-27,23.5,-85.0,23
2024-05-27,23.5,-84.5,29
2024-05-27,23.5,-84.0,6
2024-05-27,23.5,-83.5,5
2024-05-27,23.5,-83.0,10
2024-05-27,23.5,-82.5,13
2024-05-27,23.5,-82.0,21
2024-05-27,23.5,-81.5,14
2024-05-27,23.5,-81.0,12
2024-05-27,23.5,-80.5,26
2024-05-27,23.5,-80.0,30
2024-05-27,23.5,-79.5,10
2024-05-27,23.5,-79.0,32
2024-05-27,23.5,-78.5,12
2024-05-27,23.5,-78.0,7
2024-05-27,23.5,-77.5,10
2024-05-27,23.5,-77.0,15
2024-05-27,23.5,-76.5,7
2024-05-27,23.5,-75.5,6
2024-05-27,24.0,-105.0,5
2024-05-27,24.0,-96.0,12
2024-05-27,24.0,-95.0,8
2024-05-27,24.0,-94.0,8
2024-05-27,24.0,-93.0,6
2024-05-27,24.0,-92.5,9
2024-05-27,24.0,-90.5,10
2024-05-27,24.0,-90.0,17
2024-05-27,24.0,-89.0,6
2024-05-27,24.0,-88.5,6
2024-05-27,24.0,-88.0,18
2024-05-27,24.0,-87.5,12
2024-05-27,24.0,-87.0,13
2024-05-27,24.0,-86.5,20
2024-05-27,24.0,-85.5,8
2024-05-27,24.0,-85.0,16
2024-05-27,24.0,-84.5,32
2024-05-27,24.0,-84.0,17
2024-05-27,24.0,-83.5,16
2024-05-27,24.0,-83.0,16
2024-05-27,24.0,-82.5,21
2024-05-27,24.0,-82.0,14
2024-05-27,24.0,-81.5,10
2024-05-27,24.0,-80.5,16
2024-05-27,24.0,-80.0,22
2024-05-27,24.0,-79.5,19
2024-05-27,24.0,-79.0,23
2024-05-27,24.0,-78.5,14
2024-05-27,24.0,-78.0,13
2024-05-27,24.0,-77.5,12
2024-05-27,24.0,-76.5,8
2024-05-27,24.0,-76.0,5
2024-05-27,24.0,-74.0,5
2024-05-27,24.0,-73.5,8
2024-05-27,24.5,-106.5,11
2024-05-27,24.5,-102.5,6
2024-05-27,24.5,-101.0,5
2024-05-27,24.5,-100.5,7
2024-05-27,24.5,-100.0,5
2024-05-27,24.5,-99.5,7
2024-05-27,24.5,-97.5,5
2024-05-27,24.5,-95.0,9
2024-05-27,24.5,-94.5,7
2024-05-27,24.5,-94.0,5
2024-05-27,24.5,-91.5,7
2024-05-27,24.5,-90.0,13
2024-05-27,24.5,-89.5,8
2024-05-27,24.5,-89.0,13
2024-05-27,24.5,-88.5,19
2024-05-27,24.5,-86.5,14
2024-05-27,24.5,-86.0,11
2024-05-27,24.5,-85.5,15
2024-05-27,24.5,-85.0,20
2024-05-27,24.5,-84.5,14
2024-05-27,24.5,-84.0,14
2024-05-27,24.5,-83.5,7
2024-05-27,24.5,-83.0,18
